[7823, 8211] 102
[6679, 8211] 130
[4626, 8211] 148
[7671, 8211] 114
[1592, 8211] 408
[1813, 8211] 370
[10688, 8211] 542
[8169, 8211] 454
[10635, 8211] 598
[10417, 8211] 594
[8236, 8211] 416
[6205, 8211] 468
[6686, 8211] 440
[3527, 8211] 416
[8210, 8211] 458
[8643, 8211] 454
[10955, 8211] 764
[11356, 8211] 738
[12593, 8211] 718
[13107, 8211] 714
[11087, 8211] 770
[15365, 8211] 676
[14140, 8211] 544
[17207, 8211] 500
[15728, 8211] 698
[18089, 8211] 620
[19039, 8211] 518
[24352, 8211] 746
[23742, 8211] 744
[20848, 8211] 588
[23411, 8211] 746
[27316, 8211] 936
[27395, 8211] 898
[25182, 8211] 852
[25498, 8211] 924
[24027, 8211] 796
[23295, 8211] 750
[20079, 8211] 544
[18954, 8211] 508
[28619, 8211] 904
[32062, 8211] 1180
[30329, 8211] 1058
[32202, 8211] 1176
[32746, 8211] 1472
[6679, 7823] 52
[4626, 7823] 142
[7671, 7823] 108
[1592, 7823] 322
[1813, 7823] 284
[10688, 7823] 480
[8169, 7823] 392
[10635, 7823] 536
[10417, 7823] 532
[8236, 7823] 354
[6205, 7823] 382
[6686, 7823] 354
[3527, 7823] 330
[8210, 7823] 396
[8643, 7823] 392
[10955, 7823] 702
[11356, 7823] 676
[12593, 7823] 656
[13107, 7823] 652
[11087, 7823] 708
[15365, 7823] 614
[14140, 7823] 482
[17207, 7823] 438
[15728, 7823] 636
[18089, 7823] 578
[19039, 7823] 456
[24352, 7823] 684
[23742, 7823] 682
[20848, 7823] 526
[23411, 7823] 684
[27316, 7823] 874
[27395, 7823] 836
[25182, 7823] 790
[25498, 7823] 862
[24027, 7823] 734
[23295, 7823] 688
[20079, 7823] 482
[18954, 7823] 446
[28619, 7823] 858
[32062, 7823] 1118
[30329, 7823] 996
[32202, 7823] 1114
[32746, 7823] 1426
[4626, 6679] 142
[7671, 6679] 108
[1592, 6679] 338
[1813, 6679] 300
[10688, 6679] 508
[8169, 6679] 420
[10635, 6679] 564
[10417, 6679] 560
[8236, 6679] 382
[6205, 6679] 398
[6686, 6679] 370
[3527, 6679] 346
[8210, 6679] 424
[8643, 6679] 420
[10955, 6679] 730
[11356, 6679] 704
[12593, 6679] 684
[13107, 6679] 680
[11087, 6679] 736
[15365, 6679] 642
[14140, 6679] 510
[17207, 6679] 466
[15728, 6679] 664
[18089, 6679] 606
[19039, 6679] 484
[24352, 6679] 712
[23742, 6679] 710
[20848, 6679] 554
[23411, 6679] 712
[27316, 6679] 902
[27395, 6679] 864
[25182, 6679] 818
[25498, 6679] 890
[24027, 6679] 762
[23295, 6679] 716
[20079, 6679] 510
[18954, 6679] 474
[28619, 6679] 886
[32062, 6679] 1146
[30329, 6679] 1024
[32202, 6679] 1142
[32746, 6679] 1454
[7671, 4626] 106
[1592, 4626] 428
[1813, 4626] 390
[10688, 4626] 586
[8169, 4626] 498
[10635, 4626] 642
[10417, 4626] 638
[8236, 4626] 460
[6205, 4626] 488
[6686, 4626] 460
[3527, 4626] 436
[8210, 4626] 502
[8643, 4626] 498
[10955, 4626] 808
[11356, 4626] 782
[12593, 4626] 762
[13107, 4626] 758
[11087, 4626] 814
[15365, 4626] 720
[14140, 4626] 588
[17207, 4626] 544
[15728, 4626] 742
[18089, 4626] 664
[19039, 4626] 562
[24352, 4626] 790
[23742, 4626] 788
[20848, 4626] 632
[23411, 4626] 790
[27316, 4626] 980
[27395, 4626] 942
[25182, 4626] 896
[25498, 4626] 968
[24027, 4626] 840
[23295, 4626] 794
[20079, 4626] 588
[18954, 4626] 552
[28619, 4626] 948
[32062, 4626] 1224
[30329, 4626] 1102
[32202, 4626] 1220
[32746, 4626] 1516
[1592, 7671] 394
[1813, 7671] 356
[10688, 7671] 552
[8169, 7671] 464
[10635, 7671] 608
[10417, 7671] 604
[8236, 7671] 426
[6205, 7671] 454
[6686, 7671] 426
[3527, 7671] 402
[8210, 7671] 468
[8643, 7671] 464
[10955, 7671] 774
[11356, 7671] 748
[12593, 7671] 728
[13107, 7671] 724
[11087, 7671] 780
[15365, 7671] 686
[14140, 7671] 554
[17207, 7671] 510
[15728, 7671] 708
[18089, 7671] 630
[19039, 7671] 528
[24352, 7671] 756
[23742, 7671] 754
[20848, 7671] 598
[23411, 7671] 756
[27316, 7671] 946
[27395, 7671] 908
[25182, 7671] 862
[25498, 7671] 934
[24027, 7671] 806
[23295, 7671] 760
[20079, 7671] 554
[18954, 7671] 518
[28619, 7671] 914
[32062, 7671] 1190
[30329, 7671] 1068
[32202, 7671] 1186
[32746, 7671] 1482
[1813, 1592] 54
[10688, 1592] 368
[8169, 1592] 256
[10635, 1592] 472
[10417, 1592] 468
[8236, 1592] 278
[6205, 1592] 178
[6686, 1592] 166
[3527, 1592] 92
[8210, 1592] 264
[8643, 1592] 280
[10955, 1592] 730
[11356, 1592] 704
[12593, 1592] 684
[13107, 1592] 680
[11087, 1592] 736
[15365, 1592] 642
[14140, 1592] 510
[17207, 1592] 470
[15728, 1592] 664
[18089, 1592] 874
[19039, 1592] 576
[24352, 1592] 968
[23742, 1592] 966
[20848, 1592] 606
[23411, 1592] 732
[27316, 1592] 1022
[27395, 1592] 984
[25182, 1592] 938
[25498, 1592] 1010
[24027, 1592] 882
[23295, 1592] 836
[20079, 1592] 630
[18954, 1592] 590
[28619, 1592] 1142
[32062, 1592] 1266
[30329, 1592] 1144
[32202, 1592] 1262
[32746, 1592] 1710
[10688, 1813] 370
[8169, 1813] 258
[10635, 1813] 474
[10417, 1813] 470
[8236, 1813] 280
[6205, 1813] 180
[6686, 1813] 152
[3527, 1813] 94
[8210, 1813] 266
[8643, 1813] 282
[10955, 1813] 732
[11356, 1813] 706
[12593, 1813] 686
[13107, 1813] 682
[11087, 1813] 738
[15365, 1813] 644
[14140, 1813] 512
[17207, 1813] 472
[15728, 1813] 666
[18089, 1813] 846
[19039, 1813] 578
[24352, 1813] 952
[23742, 1813] 950
[20848, 1813] 608
[23411, 1813] 734
[27316, 1813] 1024
[27395, 1813] 986
[25182, 1813] 940
[25498, 1813] 1012
[24027, 1813] 884
[23295, 1813] 838
[20079, 1813] 632
[18954, 1813] 592
[28619, 1813] 1126
[32062, 1813] 1268
[30329, 1813] 1146
[32202, 1813] 1264
[32746, 1813] 1694
[8169, 10688] 148
[10635, 10688] 148
[10417, 10688] 144
[8236, 10688] 158
[6205, 10688] 234
[6686, 10688] 242
[3527, 10688] 300
[8210, 10688] 152
[8643, 10688] 128
[10955, 10688] 402
[11356, 10688] 376
[12593, 10688] 356
[13107, 10688] 352
[11087, 10688] 408
[15365, 10688] 314
[14140, 10688] 182
[17207, 10688] 142
[15728, 10688] 336
[18089, 10688] 654
[19039, 10688] 248
[24352, 10688] 648
[23742, 10688] 646
[20848, 10688] 278
[23411, 10688] 404
[27316, 10688] 694
[27395, 10688] 656
[25182, 10688] 610
[25498, 10688] 682
[24027, 10688] 554
[23295, 10688] 508
[20079, 10688] 302
[18954, 10688] 262
[28619, 10688] 822
[32062, 10688] 938
[30329, 10688] 816
[32202, 10688] 934
[32746, 10688] 1390
[10635, 8169] 252
[10417, 8169] 248
[8236, 8169] 70
[6205, 8169] 122
[6686, 8169] 130
[3527, 8169] 188
[8210, 8169] 32
[8643, 8169] 60
[10955, 8169] 510
[11356, 8169] 484
[12593, 8169] 464
[13107, 8169] 460
[11087, 8169] 516
[15365, 8169] 422
[14140, 8169] 290
[17207, 8169] 250
[15728, 8169] 444
[18089, 8169] 666
[19039, 8169] 356
[24352, 8169] 756
[23742, 8169] 754
[20848, 8169] 386
[23411, 8169] 512
[27316, 8169] 802
[27395, 8169] 764
[25182, 8169] 718
[25498, 8169] 790
[24027, 8169] 662
[23295, 8169] 616
[20079, 8169] 410
[18954, 8169] 370
[28619, 8169] 930
[32062, 8169] 1046
[30329, 8169] 924
[32202, 8169] 1042
[32746, 8169] 1498
[10417, 10635] 36
[8236, 10635] 262
[6205, 10635] 338
[6686, 10635] 346
[3527, 10635] 404
[8210, 10635] 256
[8643, 10635] 232
[10955, 10635] 438
[11356, 10635] 412
[12593, 10635] 392
[13107, 10635] 388
[11087, 10635] 444
[15365, 10635] 350
[14140, 10635] 218
[17207, 10635] 178
[15728, 10635] 372
[18089, 10635] 690
[19039, 10635] 284
[24352, 10635] 684
[23742, 10635] 682
[20848, 10635] 314
[23411, 10635] 440
[27316, 10635] 730
[27395, 10635] 692
[25182, 10635] 646
[25498, 10635] 718
[24027, 10635] 590
[23295, 10635] 544
[20079, 10635] 338
[18954, 10635] 298
[28619, 10635] 858
[32062, 10635] 974
[30329, 10635] 852
