		ˆÚ“®‹——£	ˆÚ“®‘¬“x	ˆÚ“®ŽžŠÔ
[8211	7823]	86	1.1	1.303030303
[8211	6679]	130	1.1	1.96969697
[8211	4626]	148	1.1	2.242424242
[8211	7671]	114	1.1	1.727272727
[8211	1592]	376	1.1	5.696969697
[8211	1813]	338	1.1	5.121212121
[8211	8169]	446	1.1	6.757575758
[8211	10635]	546	1.1	8.272727273
[8211	8236]	416	1.1	6.303030303
[8211	6205]	390	1.1	5.909090909
[8211	6686]	362	1.1	5.484848485
[8211	8643]	446	1.1	6.757575758
[8211	11087]	714	1.1	10.81818182
[8211	14140]	524	1.1	7.939393939
[8211	15728]	682	1.1	10.33333333
[8211	18089]	576	1.1	8.727272727
[8211	24352]	726	1.1	11
[8211	23742]	708	1.1	10.72727273
[8211	23411]	746	1.1	11.3030303
[8211	24027]	748	1.1	11.33333333
[8211	23295]	718	1.1	10.87878788
[8211	28619]	896	1.1	13.57575758
[8211	32746]	1464	1.1	22.18181818
[7823	8211]	86	1.1	1.303030303
[7823	6679]	44	1.1	0.666666667
[7823	4626]	130	1.1	1.96969697
[7823	7671]	96	1.1	1.454545455
[7823	1592]	290	1.1	4.393939394
[7823	1813]	252	1.1	3.818181818
[7823	8169]	364	1.1	5.515151515
[7823	10635]	464	1.1	7.03030303
[7823	8236]	334	1.1	5.060606061
[7823	6205]	304	1.1	4.606060606
[7823	6686]	276	1.1	4.181818182
[7823	8643]	364	1.1	5.515151515
[7823	11087]	632	1.1	9.575757576
[7823	14140]	442	1.1	6.696969697
[7823	15728]	600	1.1	9.090909091
[7823	18089]	494	1.1	7.484848485
[7823	24352]	644	1.1	9.757575758
[7823	23742]	626	1.1	9.484848485
[7823	23411]	664	1.1	10.06060606
[7823	24027]	666	1.1	10.09090909
[7823	23295]	636	1.1	9.636363636
[7823	28619]	814	1.1	12.33333333
[7823	32746]	1382	1.1	20.93939394
[6679	8211]	130	1.1	1.96969697
[6679	7823]	44	1.1	0.666666667
[6679	4626]	142	1.1	2.151515152
[6679	7671]	108	1.1	1.636363636
[6679	1592]	290	1.1	4.393939394
[6679	1813]	252	1.1	3.818181818
[6679	8169]	374	1.1	5.666666667
[6679	10635]	508	1.1	7.696969697
[6679	8236]	378	1.1	5.727272727
[6679	6205]	304	1.1	4.606060606
[6679	6686]	276	1.1	4.181818182
[6679	8643]	402	1.1	6.090909091
[6679	11087]	676	1.1	10.24242424
[6679	14140]	486	1.1	7.363636364
[6679	15728]	644	1.1	9.757575758
[6679	18089]	538	1.1	8.151515152
[6679	24352]	688	1.1	10.42424242
[6679	23742]	670	1.1	10.15151515
[6679	23411]	708	1.1	10.72727273
[6679	24027]	710	1.1	10.75757576
[6679	23295]	680	1.1	10.3030303
[6679	28619]	858	1.1	13
[6679	32746]	1426	1.1	21.60606061
[4626	8211]	148	1.1	2.242424242
[4626	7823]	130	1.1	1.96969697
[4626	6679]	142	1.1	2.151515152
[4626	7671]	106	1.1	1.606060606
[4626	1592]	388	1.1	5.878787879
[4626	1813]	350	1.1	5.303030303
[4626	8169]	472	1.1	7.151515152
[4626	10635]	590	1.1	8.939393939
[4626	8236]	460	1.1	6.96969697
[4626	6205]	402	1.1	6.090909091
[4626	6686]	374	1.1	5.666666667
[4626	8643]	490	1.1	7.424242424
[4626	11087]	758	1.1	11.48484848
[4626	14140]	568	1.1	8.606060606
[4626	15728]	726	1.1	11
[4626	18089]	620	1.1	9.393939394
[4626	24352]	770	1.1	11.66666667
[4626	23742]	752	1.1	11.39393939
[4626	23411]	790	1.1	11.96969697
[4626	24027]	792	1.1	12
[4626	23295]	762	1.1	11.54545455
[4626	28619]	940	1.1	14.24242424
[4626	32746]	1508	1.1	22.84848485
[7671	8211]	114	1.1	1.727272727
[7671	7823]	96	1.1	1.454545455
[7671	6679]	108	1.1	1.636363636
[7671	4626]	106	1.1	1.606060606
[7671	1592]	354	1.1	5.363636364
[7671	1813]	316	1.1	4.787878788
[7671	8169]	438	1.1	6.636363636
[7671	10635]	556	1.1	8.424242424
[7671	8236]	426	1.1	6.454545455
[7671	6205]	368	1.1	5.575757576
[7671	6686]	340	1.1	5.151515152
[7671	8643]	456	1.1	6.909090909
[7671	11087]	724	1.1	10.96969697
[7671	14140]	534	1.1	8.090909091
[7671	15728]	692	1.1	10.48484848
[7671	18089]	586	1.1	8.878787879
[7671	24352]	736	1.1	11.15151515
[7671	23742]	718	1.1	10.87878788
[7671	23411]	756	1.1	11.45454545
[7671	24027]	758	1.1	11.48484848
[7671	23295]	728	1.1	11.03030303
[7671	28619]	906	1.1	13.72727273
[7671	32746]	1474	1.1	22.33333333
[1592	8211]	376	1.1	5.696969697
[1592	7823]	290	1.1	4.393939394
[1592	6679]	290	1.1	4.393939394
[1592	4626]	388	1.1	5.878787879
[1592	7671]	354	1.1	5.363636364
[1592	1813]	46	1.1	0.696969697
[1592	8169]	244	1.1	3.696969697
[1592	10635]	432	1.1	6.545454545
[1592	8236]	266	1.1	4.03030303
[1592	6205]	174	1.1	2.636363636
[1592	6686]	150	1.1	2.272727273
[1592	8643]	272	1.1	4.121212121
[1592	11087]	672	1.1	10.18181818
[1592	14140]	482	1.1	7.303030303
[1592	15728]	640	1.1	9.696969697
[1592	18089]	784	1.1	11.87878788
[1592	24352]	928	1.1	14.06060606
[1592	23742]	910	1.1	13.78787879
[1592	23411]	708	1.1	10.72727273
[1592	24027]	822	1.1	12.45454545
[1592	23295]	792	1.1	12
[1592	28619]	1102	1.1	16.6969697
[1592	32746]	1670	1.1	25.3030303
[1813	8211]	338	1.1	5.121212121
[1813	7823]	252	1.1	3.818181818
[1813	6679]	252	1.1	3.818181818
[1813	4626]	350	1.1	5.303030303
[1813	7671]	316	1.1	4.787878788
[1813	1592]	46	1.1	0.696969697
[1813	8169]	250	1.1	3.787878788
[1813	10635]	438	1.1	6.636363636
[1813	8236]	272	1.1	4.121212121
[1813	6205]	180	1.1	2.727272727
[1813	6686]	152	1.1	2.303030303
[1813	8643]	278	1.1	4.212121212
[1813	11087]	678	1.1	10.27272727
[1813	14140]	488	1.1	7.393939394
[1813	15728]	646	1.1	9.787878788
[1813	18089]	746	1.1	11.3030303
[1813	24352]	896	1.1	13.57575758
[1813	23742]	878	1.1	13.3030303
[1813	23411]	714	1.1	10.81818182
[1813	24027]	828	1.1	12.54545455
[1813	23295]	798	1.1	12.09090909
[1813	28619]	1066	1.1	16.15151515
[1813	32746]	1634	1.1	24.75757576
[8169	8211]	446	1.1	6.757575758
[8169	7823]	364	1.1	5.515151515
[8169	6679]	374	1.1	5.666666667
[8169	4626]	472	1.1	7.151515152
[8169	7671]	438	1.1	6.636363636
[8169	1592]	244	1.1	3.696969697
[8169	1813]	250	1.1	3.787878788
[8169	10635]	204	1.1	3.090909091
[8169	8236]	62	1.1	0.939393939
[8169	6205]	110	1.1	1.666666667
[8169	6686]	106	1.1	1.606060606
[8169	8643]	44	1.1	0.666666667
[8169	11087]	444	1.1	6.727272727
[8169	14140]	254	1.1	3.848484848
[8169	15728]	412	1.1	6.242424242
[8169	18089]	614	1.1	9.303030303
[8169	24352]	724	1.1	10.96969697
[8169	23742]	706	1.1	10.6969697
[8169	23411]	492	1.1	7.454545455
[8169	24027]	606	1.1	9.181818182
[8169	23295]	576	1.1	8.727272727
[8169	28619]	898	1.1	13.60606061
[8169	32746]	1466	1.1	22.21212121
[10635	8211]	546	1.1	8.272727273
[10635	7823]	464	1.1	7.03030303
[10635	6679]	508	1.1	7.696969697
[10635	4626]	590	1.1	8.939393939
[10635	7671]	556	1.1	8.424242424
[10635	1592]	432	1.1	6.545454545
[10635	1813]	438	1.1	6.636363636
[10635	8169]	204	1.1	3.090909091
[10635	8236]	226	1.1	3.424242424
[10635	6205]	298	1.1	4.515151515
[10635	6686]	294	1.1	4.454545455
[10635	8643]	192	1.1	2.909090909
[10635	11087]	364	1.1	5.515151515
[10635	14140]	174	1.1	2.636363636
[10635	15728]	332	1.1	5.03030303
[10635	18089]	634	1.1	9.606060606
[10635	24352]	664	1.1	10.06060606
[10635	23742]	646	1.1	9.787878788
[10635	23411]	428	1.1	6.484848485
[10635	24027]	542	1.1	8.212121212
[10635	23295]	512	1.1	7.757575758
[10635	28619]	838	1.1	12.6969697
[10635	32746]	1406	1.1	21.3030303
[8236	8211]	416	1.1	6.303030303
[8236	7823]	334	1.1	5.060606061
[8236	6679]	378	1.1	5.727272727
[8236	4626]	460	1.1	6.96969697
[8236	7671]	426	1.1	6.454545455
[8236	1592]	266	1.1	4.03030303
[8236	1813]	272	1.1	4.121212121
[8236	8169]	62	1.1	0.939393939
[8236	10635]	226	1.1	3.424242424
[8236	6205]	132	1.1	2
[8236	6686]	128	1.1	1.939393939
[8236	8643]	66	1.1	1
[8236	11087]	466	1.1	7.060606061
[8236	14140]	276	1.1	4.181818182
[8236	15728]	434	1.1	6.575757576
[8236	18089]	584	1.1	8.848484848
[8236	24352]	694	1.1	10.51515152
[8236	23742]	676	1.1	10.24242424
[8236	23411]	502	1.1	7.606060606
[8236	24027]	616	1.1	9.333333333
[8236	23295]	586	1.1	8.878787879
[8236	28619]	868	1.1	13.15151515
[8236	32746]	1436	1.1	21.75757576
[6205	8211]	390	1.1	5.909090909
[6205	7823]	304	1.1	4.606060606
[6205	6679]	304	1.1	4.606060606
[6205	4626]	402	1.1	6.090909091
[6205	7671]	368	1.1	5.575757576
[6205	1592]	174	1.1	2.636363636
[6205	1813]	180	1.1	2.727272727
[6205	8169]	110	1.1	1.666666667
[6205	10635]	298	1.1	4.515151515
[6205	8236]	132	1.1	2
[6205	6686]	48	1.1	0.727272727
[6205	8643]	138	1.1	2.090909091
[6205	11087]	538	1.1	8.151515152
[6205	14140]	348	1.1	5.272727273
[6205	15728]	506	1.1	7.666666667
[6205	18089]	684	1.1	10.36363636
[6205	24352]	794	1.1	12.03030303
[6205	23742]	776	1.1	11.75757576
[6205	23411]	574	1.1	8.696969697
[6205	24027]	688	1.1	10.42424242
[6205	23295]	658	1.1	9.96969697
[6205	28619]	968	1.1	14.66666667
[6205	32746]	1536	1.1	23.27272727
[6686	8211]	362	1.1	5.484848485
[6686	7823]	276	1.1	4.181818182
[6686	6679]	276	1.1	4.181818182
[6686	4626]	374	1.1	5.666666667
[6686	7671]	340	1.1	5.151515152
[6686	1592]	150	1.1	2.272727273
[6686	1813]	152	1.1	2.303030303
[6686	8169]	106	1.1	1.606060606
[6686	10635]	294	1.1	4.454545455
[6686	8236]	128	1.1	1.939393939
[6686	6205]	48	1.1	0.727272727
[6686	8643]	134	1.1	2.03030303
[6686	11087]	534	1.1	8.090909091
[6686	14140]	344	1.1	5.212121212
[6686	15728]	502	1.1	7.606060606
[6686	18089]	680	1.1	10.3030303
[6686	24352]	790	1.1	11.96969697
[6686	23742]	772	1.1	11.6969697
[6686	23411]	570	1.1	8.636363636
[6686	24027]	684	1.1	10.36363636
[6686	23295]	654	1.1	9.909090909
[6686	28619]	964	1.1	14.60606061
[6686	32746]	1532	1.1	23.21212121
[8643	8211]	446	1.1	6.757575758
[8643	7823]	364	1.1	5.515151515
[8643	6679]	402	1.1	6.090909091
[8643	4626]	490	1.1	7.424242424
[8643	7671]	456	1.1	6.909090909
[8643	1592]	272	1.1	4.121212121
[8643	1813]	278	1.1	4.212121212
[8643	8169]	44	1.1	0.666666667
[8643	10635]	192	1.1	2.909090909
[8643	8236]	66	1.1	1
[8643	6205]	138	1.1	2.090909091
[8643	6686]	134	1.1	2.03030303
